iter	Passed	Remaining
732	1090	397
733	1091	395
734	1092	394
735	1094	392
736	1096	391
737	1098	389
738	1102	389
739	1105	388
740	1107	387
741	1109	385
742	1111	384
743	1112	382
744	1115	381
745	1118	380
746	1119	379
747	1121	377
748	1122	376
749	1124	374
750	1126	373
751	1127	371
752	1131	371
753	1134	370
754	1136	368
755	1138	367
756	1139	365
757	1141	364
758	1143	362
759	1146	361
760	1148	360
761	1150	359
762	1152	357
763	1154	356
764	1155	355
765	1157	353
766	1159	352
767	1161	350
768	1164	349
769	1165	348
770	1167	346
771	1168	345
772	1170	343
773	1172	342
774	1173	340
775	1176	339
776	1178	338
777	1179	336
778	1181	335
779	1182	333
780	1184	332
781	1185	330
782	1187	328
783	1191	328
784	1194	327
785	1195	325
786	1197	324
787	1199	322
788	1200	321
789	1202	319
790	1203	318
791	1208	317
792	1209	315
793	1210	314
794	1212	312
795	1213	311
796	1215	309
797	1216	308
798	1218	306
799	1222	305
800	1224	304
801	1226	302
802	1227	301
803	1228	299
804	1230	298
805	1232	296
806	1233	295
807	1235	293
808	1238	292
809	1240	290
810	1242	289
811	1243	287
812	1245	286
813	1247	284
814	1248	283
815	1251	282
816	1254	281
817	1256	279
818	1257	277
819	1259	276
820	1260	274
821	1262	273
822	1264	271
823	1267	270
824	1269	269
825	1271	267
826	1272	266
827	1274	264
828	1275	263
829	1277	261
830	1278	260
831	1282	259
832	1285	257
833	1286	256
834	1288	254
835	1289	253
836	1291	251
837	1293	249
838	1295	248
839	1297	247
840	1299	245
841	1301	244
842	1302	242
843	1304	241
844	1305	239
845	1307	237
846	1310	236
847	1313	235
848	1314	233
849	1316	232
850	1317	230
851	1319	229
852	1320	227
853	1322	226
854	1325	224
855	1327	223
856	1329	221
857	1331	220
858	1332	218
859	1334	217
860	1335	215
861	1337	214
862	1342	213
863	1345	211
864	1348	210
865	1351	209
866	1355	207
867	1357	206
868	1359	204
869	1361	203
870	1362	201
871	1364	200
872	1365	198
873	1366	197
874	1371	195
875	1372	194
876	1374	192
877	1376	191
878	1377	189
879	1379	188
880	1380	186
881	1382	184
882	1384	183
883	1387	182
884	1388	180
885	1390	178
886	1391	177
887	1393	175
888	1394	174
889	1396	172
890	1397	170
891	1401	169
892	1402	168
893	1404	166
894	1405	164
895	1407	163
896	1408	161
897	1410	160
898	1411	158
899	1413	157
900	1415	155
901	1417	153
902	1418	152
903	1420	150
904	1421	149
905	1423	147
906	1424	146
907	1426	144
908	1427	142
909	1431	141
910	1433	140
911	1434	138
912	1435	136
913	1437	135
914	1438	133
915	1440	132
916	1442	130
917	1443	128
918	1445	127
919	1447	125
920	1449	124
921	1450	122
922	1452	121
923	1453	119
924	1455	117
925	1456	116
926	1460	115
927	1463	113
928	1464	111
929	1466	110
930	1467	108
931	1469	107
932	1471	105
933	1472	104
934	1474	102
935	1477	100
936	1478	99
937	1480	97
938	1481	96
939	1483	94
940	1484	93
941	1486	91
942	1487	89
943	1491	88
944	1494	86
945	1496	85
946	1497	83
947	1499	82
948	1501	80
949	1502	79
950	1504	77
951	1506	75
952	1508	74
953	1510	72
954	1511	71
955	1513	69
956	1514	68
957	1516	66
958	1517	64
959	1520	63
960	1523	61
961	1525	60
962	1526	58
963	1528	57
964	1529	55
965	1531	53
966	1532	52
967	1534	50
968	1536	49
969	1538	47
970	1540	45
971	1541	44
972	1543	42
973	1544	41
974	1546	39
975	1547	38
976	1551	36
977	1553	34
978	1554	33
979	1556	31
980	1557	30
981	1559	28
982	1561	26
983	1562	25
984	1564	23
985	1566	22
986	1568	20
987	1569	19
988	1570	17
989	1572	15
990	1573	14
991	1575	12
992	1576	11
993	1578	9
994	1581	7
995	1583	6
996	1585	4
997	1586	3
998	1588	1
999	1589	0
